0:-624.963627004 1:140.744442072 2:-53.8380775172 3:29.4464159562 4:-15.5262091576 5:-32.8039161165 6:-6.6285118472 7:-29.5489286526 8:-2.64564524874 9:-1.25625078003 10:-6.45720013384 11:3.8591724155 12:-10.7067393729 13:-0.00583711132903 14:-0.00393520009132 15:-0.000456608280122 16:-0.00132092908179 17:-0.000673933122766 18:-0.000218115036749 19:0.00133314203026 20:0.00229103363055 21:0.000699052138032 22:0.000657236278413 23:0.00127009575099 24:0.00114029780346 25:0.000597494952449 
0:-631.758843455 1:149.842872597 2:-47.0204888356 3:17.7147561031 4:-15.3059418343 5:-30.6249450116 6:-5.22378737439 7:-26.4422948397 8:-4.69415848284 9:1.21363418217 10:-8.0900180467 11:-1.11971703021 12:-9.94054343516 13:-0.00880159452168 14:-0.00611760491991 15:0.00310790595228 16:0.000770313931079 17:0.00182414075714 18:-0.00102823491987 19:0.00043765653107 20:0.00104004369803 21:0.000908332269091 22:-0.000338601413163 23:0.000961375025218 24:0.000568492554621 25:0.000580780570297 
0:-598.763135095 1:156.834697199 2:-59.1819637153 3:26.5852737403 4:-21.9336685487 5:-41.9812556736 6:-4.37284774013 7:-21.4065179632 8:-2.40039626534 9:-5.87328490951 10:-4.85678880796 11:7.58497914011 12:-12.1397326501 13:-0.00797401586758 14:-0.00440190625831 15:0.00355408288499 16:-0.00158945045735 17:0.00160465010983 18:0.00131876112949 19:-0.000445133826067 20:-0.00153784350866 21:-7.01229673793e-05 22:-0.00134782985279 23:-4.24140006122e-05 24:-0.000881751407853 25:0.000995981307416 
0:-606.135567227 1:153.24265725 2:-61.4595613263 3:22.9050115191 4:-13.4748007322 5:-31.0134502763 6:-6.2750926702 7:-28.929264937 8:-1.36935277355 9:-3.23224217412 10:-11.0798442095 11:4.72395140623 12:-10.6329602413 13:-0.00386044726084 14:0.00111832703428 15:0.00547438486384 16:-0.00149409637482 17:0.00161962483582 18:-0.00136534369767 19:-0.00152800067402 20:-0.000312372451178 21:0.000502787938104 22:0.000369179263148 23:0.000973392559515 24:-0.00107499378512 25:0.00114566375247 
0:-586.55973886 1:158.385884958 2:-72.8775305005 3:21.002896308 4:-18.2753503622 5:-36.9844553227 6:-4.69325658378 7:-26.2985156134 8:-0.778532960508 9:-2.17212396721 10:-7.04591900418 11:7.6222028201 12:-9.79368368152 13:-0.00347832531398 14:-0.000115587098793 15:0.00426801243562 16:-0.000184854588287 17:-0.000678638959968 18:0.000825760490496 19:0.000424088533868 20:-0.00121424719857 21:0.000647275101245 22:0.000777429668013 23:-0.000764671928649 24:-0.00134378976818 25:0.000505319511264 
0:-594.559157272 1:150.057128551 2:-66.1984906679 3:32.408914084 4:-22.4221883515 5:-42.8816714216 6:-2.57025712017 7:-22.7973931415 8:0.277515340516 9:-4.02685477642 10:-6.31561993845 11:8.29640474815 12:-11.360677054 13:-0.00430517312167 14:0.00477140256462 15:0.00729068173887 16:-0.00570092532642 17:0.00270571226238 18:-0.00105298769539 19:-0.00271695721203 20:-0.00254005912928 21:-0.00188084471404 22:0.000940988288925 23:-2.5426029935e-05 24:-0.00169931286692 25:0.000618127749338 
0:-581.11146394 1:154.638917959 2:-70.7886100177 3:34.167834641 4:-22.2096254184 5:-40.4801214955 6:-1.26510672973 7:-28.5513927111 8:-0.0859479724594 9:-1.87136237024 10:-9.6333164737 11:7.60440382675 12:-9.78778795956 13:0.00453068186702 14:5.98496823124e-05 15:-0.00149194038033 16:-6.19960647523e-05 17:0.000754104600466 18:-0.000572528708025 19:-0.00112646013112 20:-0.00172244382525 21:0.00108609105734 22:-0.000239209285989 23:0.000947436089166 24:0.000514670860385 25:0.000172928894724 
0:-596.610825116 1:149.486236716 2:-63.540310147 3:32.2912499868 4:-23.4719982634 5:-37.8179977276 6:-0.272219283162 7:-27.0618941014 8:-0.220336092517 9:-3.09164429132 10:-9.59129854342 11:6.16284625726 12:-11.3343183329 13:0.000754921367324 14:-2.4664829241e-05 15:-0.000848511767563 16:-0.00215304550047 17:-0.00121671296649 18:0.000223609022627 19:-0.000286304799518 20:4.82928655134e-05 21:0.00130329373279 22:-0.000333658542773 23:0.000558038436342 24:0.000584120723409 25:-8.57983666178e-05 
0:-589.020536532 1:152.810862034 2:-67.7353647335 3:31.592474669 4:-22.0603443049 5:-38.2678289859 6:0.393771118403 7:-27.1964460054 8:-2.44478701643 9:-2.78616799664 10:-9.07072850921 11:5.27155993933 12:-9.53756556253 13:-0.0176467155441 14:-0.00634430562793 15:0.00820435635711 16:-0.000321649465315 17:0.000439268067005 18:0.00283408429854 19:0.00191530287332 20:0.00194291696757 21:-0.000325971775553 22:-0.000609609361665 23:-0.000701256624289 24:-0.00124601263274 25:0.000556938041375 
0:-602.14384297 1:153.150271235 2:-57.2358965489 3:29.2825037251 4:-22.5379345933 5:-39.426552477 6:-4.67020874322 7:-25.2740841237 8:-1.29974343469 9:-4.23196814705 10:-5.21913896702 11:7.27799794614 12:-12.5055440828 13:-0.00645968816383 14:-0.00340370820972 15:0.00638306215135 16:0.000540984173427 17:0.00171430200302 18:0.00112747698425 19:0.00209913730673 20:-0.000175118658238 21:0.00277826385496 22:0.00019309307651 23:-0.0025236850086 24:-0.00277668812271 25:0.000341667693126 
0:-594.65794421 1:151.593832072 2:-65.3109826912 3:32.7428202664 4:-17.7922790334 5:-40.85370938 6:-6.44909727377 7:-25.0106084197 8:-1.13390264448 9:-5.04916931676 10:-5.50629210165 11:7.0192729558 12:-11.8367818868 13:-0.0126747008264 14:-0.00189625687365 15:0.00482791340083 16:-0.00395695016769 17:0.00251801308217 18:0.00106579287986 19:-0.000854130406013 20:0.000953104741398 21:-0.00113120376346 22:0.00140159961932 23:0.000727444710502 24:-0.00131658963339 25:0.000702201674509 
0:-611.885652382 1:147.649097239 2:-56.7403324165 3:27.2948211343 4:-20.972323407 5:-36.9090033835 6:-6.36295158009 7:-26.6266032141 8:-0.516849826263 9:-3.83849548071 10:-6.51549842279 11:6.29158315148 12:-12.138809079 13:-0.00238699276788 14:-0.000403751436531 15:0.00151878539257 16:-0.000210479618101 17:0.00034083860862 18:-0.00106775019963 19:8.11576007241e-05 20:0.000481875926663 21:-0.000643173122185 22:-4.62047132355e-05 23:0.000185547232091 24:-0.000401358243782 25:0.0007969759909 
0:-596.638127744 1:149.763156175 2:-69.0027400501 3:24.1442764065 4:-25.6383534422 5:-39.6119650484 6:-0.520600108658 7:-24.4159524571 8:0.261104399898 9:-1.28950811371 10:-6.80310218613 11:6.23782645232 12:-11.3415630319 13:-0.0175574673374 14:-0.00835727359863 15:0.00588684281977 16:-0.000565740618154 17:-0.00187969916942 18:0.000574158062276 19:0.00102564142299 20:0.00120804329124 21:-0.000151833606729 22:-0.000677858577148 23:-0.000108876995321 24:0.00114312633954 25:0.000878970898223 
0:-589.250700933 1:154.215445353 2:-67.6248343926 3:29.3643016355 4:-20.4338877474 5:-40.4915272169 6:-6.7427159869 7:-23.5792974169 8:0.970220948855 9:-7.30599129398 10:-3.54626777646 11:10.7929133109 12:-14.3788729642 13:-0.0126321360286 14:-0.00320962811833 15:0.00565593895701 16:-0.000893434138209 17:0.00192387868819 18:0.00130394200484 19:-0.000391802418437 20:0.00145388339907 21:0.000877346361102 22:0.000685458631447 23:-0.000300289352663 24:-0.000787321015918 25:0.000594764622981 
0:-601.635142528 1:149.128713816 2:-61.6356072485 3:30.2808701183 4:-21.0289743188 5:-36.718171575 6:-3.83461456085 7:-27.3289722667 8:-0.283236451397 9:-3.88894738591 10:-7.33947327729 11:7.50282143864 12:-11.6124534309 13:-0.0120073788333 14:-0.00645535031981 15:0.00272277535411 16:-0.00271690740437 17:0.000315620426236 18:-0.00240743331561 19:-0.000962562142502 20:0.00164122664493 21:-0.000523472597865 22:0.00132380663167 23:0.000797751112778 24:-0.00050024538437 25:0.000406322224972 
0:-605.126644184 1:145.62520546 2:-66.7870817646 3:28.4253864659 4:-17.2241042402 5:-38.3901791648 6:-5.40006603699 7:-25.4554896132 8:0.379181739806 9:-1.75158542907 10:-7.54168096819 11:6.4967174566 12:-9.73435571252 13:-0.00617747963846 14:-0.00391850280254 15:0.000270518142667 16:-0.00265507608524 17:-0.00165040461183 18:-0.00072110894773 19:0.00180524113723 20:-0.00147306444355 21:-0.000687510797697 22:0.00240741044086 23:-0.000117802966157 24:-0.00117236293799 25:0.00206876513892 
0:-610.620772383 1:145.270293659 2:-61.759166965 3:28.6387839103 4:-19.4370909902 5:-40.1855748618 6:-5.28993093018 7:-23.7705312835 8:0.367208048707 9:-2.71375219494 10:-6.91092278209 11:7.21404212329 12:-11.9687421445 13:-0.00855741346567 14:-0.00412483819956 15:0.00100610162122 16:-0.0025127804788 17:-0.000192452468276 18:0.00168731582319 19:0.00167084891921 20:0.00211077715323 21:9.62507391026e-05 22:0.000535832737103 23:0.00168712196217 24:0.000310704880616 25:0.000226410872233 
0:-620.252869063 1:144.947567606 2:-58.7080288358 3:22.2509119857 4:-14.6606167805 5:-31.7371209695 6:-6.95565395088 7:-26.5760314699 8:-1.5531087475 9:-3.54319717931 10:-7.40496700993 11:4.63845838993 12:-11.1417857205 13:-0.0214474228828 14:-0.00785290907724 15:0.00694143140378 16:-0.00355320419448 17:0.000985309639193 18:0.00279212743998 19:-0.000602956915716 20:0.00279617714323 21:0.000251589507135 22:-0.00158090434762 23:0.00033256805884 24:0.000292929802503 25:0.000406720797412 
0:-618.090583697 1:147.959076636 2:-54.2684870144 3:24.7329463474 4:-17.571860649 5:-33.5129972423 6:-5.62247238082 7:-27.0704953597 8:-3.44599596265 9:-3.36432519943 10:-5.81573001547 11:5.1026954852 12:-11.3764827071 13:-0.0123108377555 14:-0.00212470941548 15:0.00756550253552 16:-0.00372552478713 17:-0.00247930761449 18:0.00190720292873 19:0.00146191680225 20:0.00110825573407 21:0.00099836969737 22:0.00121264624332 23:0.00056464493653 24:-0.000628285207391 25:0.000674897233012 
0:-604.365946472 1:160.462538505 2:-56.6419194232 3:15.2337295888 4:-20.6542386012 5:-30.7274408618 6:-5.21690613478 7:-29.2617655804 8:-2.70964292241 9:-0.329660255272 10:-6.74562115459 11:2.94110775913 12:-9.43452518732 13:0.00362546589306 14:0.00551217904477 15:0.00150072984489 16:-0.00577948678919 17:0.00357471609933 18:0.000502869220036 19:-0.00115054136996 20:0.000379648892648 21:-4.74374899755e-05 22:-0.000438075520876 23:0.00307565402879 24:-0.00136903120375 25:-0.000967940048231 
0:-614.963414608 1:153.224513071 2:-55.0653624135 3:19.0178196647 4:-17.433015425 5:-31.099281523 6:-4.39491406407 7:-26.8557927382 8:-3.68829358643 9:-2.96661797256 10:-8.46195418638 11:3.27257644311 12:-9.29318480303 13:0.00334584699138 14:0.00321884775849 15:0.00290820980874 16:0.00150183800302 17:0.00119371922443 18:-0.000421561392994 19:-0.000312782382698 20:-0.00234583569625 21:-0.00136268401998 22:-0.000115930573016 23:0.0012745527907 24:0.000888424772337 25:0.000566367690342 
0:-601.480335678 1:158.70785622 2:-63.185235694 3:14.6507974271 4:-19.3368496128 5:-34.0215481262 6:-5.68627797393 7:-25.3849466995 8:-0.872153945219 9:-0.964570359692 10:-8.18020771193 11:2.32969739873 12:-8.7109527734 13:0.0112825249732 14:0.00257497277702 15:-0.00221086634328 16:0.000574587581586 17:0.00135742611064 18:-0.00188219948039 19:-0.000719644663931 20:-0.000774871133826 21:0.00107482812351 22:0.000179886915343 23:0.000299558285913 24:-0.000766661817185 25:-0.000535989488513 
0:-579.919630507 1:151.300200768 2:-76.3282878576 3:34.7510525684 4:-16.4306691034 5:-33.7682807609 6:-1.22060332725 7:-34.9757182623 8:-3.25568099509 9:0.567717875451 10:-9.36414585872 11:4.03501958692 12:-8.38807883252 13:0.000704950876832 14:-0.000778999391258 15:0.00374769725802 16:0.00333835263133 17:0.000553440565841 18:0.00012702658419 19:0.000308431107125 20:-0.000447220734475 21:0.000401862327502 22:-0.000795159533836 23:-1.83123316482e-05 24:-0.00164797638695 25:0.000256614604436 
0:-599.741718399 1:158.610957839 2:-63.7042423976 3:19.7364222639 4:-13.0467433891 5:-31.5234519951 6:-5.05659034161 7:-27.6708248739 8:-4.23342236405 9:-0.77601709867 10:-6.0818233913 11:5.43469338421 12:-7.04303011561 13:0.00175245927639 14:-0.00254702880247 15:-0.00150157241379 16:0.00171489567238 17:0.00103199871852 18:-0.00018670554173 19:-0.00106336365802 20:-0.00186959509339 21:0.000479389784213 22:-0.00106683600381 23:-0.000525781455596 24:-0.000768546304245 25:-0.000120908385397 
0:-571.315986671 1:157.73029961 2:-78.9822935519 3:32.0571298683 4:-15.7121968248 5:-34.6806107148 6:-1.1515825399 7:-32.2209732711 8:-1.6952526828 9:1.95951760711 10:-8.51830859927 11:2.46617737634 12:-10.0658336499 13:0.00245355222011 14:0.00181912734971 15:0.00172398868845 16:-0.000120520389041 17:-0.000810866459278 18:0.000800620955405 19:0.00076626492864 20:-0.000768001680933 21:0.0008347015727 22:-0.000731893558041 23:-0.000741635191883 24:1.5665728568e-05 25:0.000339853533582 
0:-565.903172479 1:167.384890224 2:-78.2857847331 3:21.8052309773 4:-17.9324472995 5:-32.6660250703 6:-3.00017132341 7:-30.9003671731 8:-0.761290257682 9:-0.965017427769 10:-8.00483211581 11:6.14196995709 12:-9.23777389316 13:0.00481871632407 14:0.00284267092537 15:0.00192734491664 16:-0.00293595525786 17:-0.000703261302947 18:-0.000960840784541 19:0.000329990396235 20:-0.00109963850783 21:-0.000764942029462 22:-0.00053060334095 23:0.00213886711443 24:7.06417114176e-05 25:0.000357771148221 
0:-571.327467741 1:160.268433075 2:-74.7946793506 3:31.9406801921 4:-17.2713066202 5:-34.1706200978 6:-2.10682082783 7:-33.3609009421 8:-4.26197355371 9:-2.36998013536 10:-7.99462426181 11:3.72918361241 12:-11.0564711858 13:0.0103009309886 14:0.00356764974148 15:-0.000409435740422 16:0.00038248934577 17:0.00038681751195 18:-0.00197614242206 19:0.000668088088301 20:-0.00224285116102 21:9.88986992014e-05 22:0.000509621804044 23:-0.000935839784067 24:-0.00101295854191 25:0.000205043191594 
0:-574.957408729 1:159.783494184 2:-71.9385143361 3:33.0262843745 4:-18.4570206868 5:-36.1910819901 6:-0.64069653005 7:-32.593780576 8:-4.33225974549 9:-0.0954388046903 10:-8.59118571742 11:3.60656542916 12:-9.81517693208 13:0.0180889018485 14:0.00367893991284 15:-0.00171230286992 16:0.000572227219332 17:0.000329607248884 18:-0.00296758069601 19:0.000425256706351 20:-0.00117373502146 21:-0.000244321706494 22:-0.000408373923699 23:-0.000179382926022 24:-0.0013408896828 25:-0.000245774134336 
0:-587.736148836 1:156.015485101 2:-62.7646810322 3:33.7365062655 4:-22.6426822767 5:-37.6403478732 6:-2.54961857716 7:-32.6218251052 8:-0.888351739994 9:1.56453025953 10:-10.377221206 11:2.18905319696 12:-9.83150856631 13:-0.0092557133522 14:-0.0032718241286 15:0.00375313603944 16:0.000828053926479 17:0.00381938929984 18:0.000118916206686 19:-0.00298892704857 20:-0.00175754175016 21:-0.00241388524913 22:-0.00127643949165 23:0.000292173972277 24:-0.000160487057996 25:0.000249974469854 
0:-572.404160064 1:163.17910837 2:-77.2560156635 3:28.6620273453 4:-9.40145846306 5:-35.8858199845 6:-9.59188727686 7:-32.0093321149 8:-0.969869564222 9:-1.09347021573 10:-10.8545244881 11:2.74543328092 12:-8.04339043296 13:-0.00865500418276 14:-0.00240397178971 15:0.00424820722624 16:-0.00102077461972 17:0.00441592498152 18:-0.00214360988001 19:-0.00329267825298 20:-0.000846994644153 21:8.08695949961e-05 22:0.00117276229154 23:0.00147165928324 24:-0.000453671681143 25:0.000112673490977 
